Año,Costos_Operativos,Ingresos_SaaS,Deficit_Utilidad,Ingresos_Inversor_Red,ROI_Acumulado,Fundadores,Constructores,Consumidores,Estructura,Ingreso_Inversor_Mensual
1,342000000,80000000,-262000000,91000000,-69%,150,1000,1200,100x100,7650000
2,400000000,186000000,-214000000,185000000,-7%,150,3000,5000,250x250,15300000
3,440000000,380000000,-60000000,459000000,137%,150,7000,15000,500x500,38250000
4,480000000,650000000,170000000,733000000,311%,150,15000,40000,800x800,61083000
5,510000000,950000000,440000000,918000000,489%,150,25000,80000,1000x1000,76500000
